Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
298.73999999999995,309.0666666666667,1522.2,38.330000000000005,69.76666666666667
298.78333333333336,309.13000000000005,1528.7,41.36666666666666,68.46666666666667
298.71666666666664,309.19666666666666,1512.4,42.16,73.76666666666667
298.71666666666675,309.18,1533.4666666666667,40.53666666666666,83.13333333333334
298.7366666666666,309.08000000000004,1484.8333333333333,41.833333333333336,59.3
298.69666666666666,309.1133333333334,1549.1333333333334,37.12,60.06666666666667
298.72666666666663,309.1066666666667,1532.5,40.416666666666664,53.233333333333334
298.59333333333336,309.10333333333335,1522.0,41.08666666666666,65.23333333333333
298.73999999999995,309.1,1504.0666666666666,40.48666666666667,65.53333333333333
298.71000000000004,309.1233333333334,1500.4333333333334,41.19333333333334,74.4
298.7666666666667,309.14333333333343,1492.9666666666667,43.26666666666667,68.03333333333333
298.63333333333344,309.0866666666667,1541.1,44.086666666666666,78.6
298.7433333333334,309.1366666666667,1551.1333333333334,39.66,66.2
298.7699999999999,309.11,1535.5333333333333,39.69000000000001,78.0
298.67333333333335,309.0733333333334,1553.9666666666667,40.873333333333335,72.36666666666666
298.65333333333336,309.12000000000006,1563.3666666666666,39.11333333333333,65.2
298.75333333333333,309.13000000000005,1494.4333333333334,43.17666666666666,61.93333333333333
298.6866666666666,309.0866666666667,1538.5,39.05333333333333,60.233333333333334
298.71000000000004,309.1733333333334,1536.1,38.86,72.46666666666667
298.80333333333334,309.16,1539.5666666666666,41.90666666666666,65.9
298.76,309.10333333333335,1483.1666666666667,39.48,67.13333333333334
298.7666666666666,309.07000000000005,1561.7333333333333,39.666666666666664,69.1
298.72666666666663,309.1733333333333,1582.4,40.016666666666666,69.73333333333333
298.71999999999997,309.0733333333333,1501.5,43.39,81.03333333333333
298.7233333333333,309.10333333333335,1506.4666666666667,37.69666666666667,74.96666666666667
298.71666666666664,309.1133333333334,1535.5333333333333,38.193333333333335,72.6
298.71333333333337,308.9866666666667,1515.2666666666667,39.54666666666666,67.93333333333334
298.66333333333336,309.1866666666667,1497.1,40.809999999999995,67.0
298.68000000000006,309.13666666666666,1575.5,40.26,72.16666666666667
298.6933333333333,309.1766666666666,1543.6,39.239999999999995,76.7
298.70333333333326,309.1533333333333,1531.4333333333334,40.01333333333333,66.1
298.63666666666666,309.0933333333333,1521.1666666666667,38.55666666666666,63.666666666666664
298.6766666666667,309.15333333333336,1502.6,40.14666666666666,59.1
298.78,309.1333333333334,1596.7,41.903333333333336,66.3
298.67,309.0966666666667,1503.1333333333334,39.233333333333334,60.56666666666667
298.68,309.21666666666664,1521.6666666666667,39.056666666666665,75.76666666666667
298.7033333333333,309.16666666666674,1572.5666666666666,39.23333333333333,65.96666666666667
298.6766666666667,309.09000000000003,1489.3,42.423333333333325,63.833333333333336
298.7666666666666,309.1266666666667,1546.0,39.30333333333333,76.93333333333334
298.6566666666667,309.1033333333334,1522.2333333333333,38.736666666666665,72.0
298.6866666666666,309.0266666666667,1512.3666666666666,36.09000000000001,64.13333333333334
298.6966666666667,309.18,1545.3333333333333,42.31000000000001,68.33333333333333
298.72999999999996,309.1566666666667,1572.9333333333334,40.76,77.6
298.6566666666667,309.09666666666664,1559.5,41.523333333333326,74.76666666666667
298.7366666666667,309.11,1534.5,41.873333333333335,71.33333333333333
298.69,308.99000000000007,1515.3,38.33,78.96666666666667
298.83333333333326,309.1700000000001,1504.0,42.37666666666667,72.66666666666667
298.5733333333334,309.1333333333333,1521.2,43.04666666666666,65.13333333333334
298.63666666666666,309.1633333333333,1548.1,42.33333333333333,70.13333333333334
298.6400000000001,309.1366666666666,1515.0,40.17,61.13333333333333
